user_id	items
239	1449194,2000981,757191,2552024,1020268,252498,1364604,688646
242	
246	
258	65416,517661,334714,506784,195828,1945180,1882077,2425858,300309,770749,1022618,1798684,2528210,1242630,1904255,1190640,819496,1569933,1014924,1663225,307565,1457434,397462,166684,1219167,997299,1829690,388983,1639401,1577452,2441270,562726,637124,234280,792238,2668302,837352,249328,1708469,1653952,1219657,1006301,1290145,1757120,470078,1386881,1279857,279549,124290,179761,745606,955626,260620,454238,2480410,2317666,1762768,1103997,1669221,1672416,2150380,964980,436074,224133,2525760,2674066,429979,2418435,956619,898531,1052097,1066113,854053,541380,2667754,1960757,2607419,1434291,1128456,886918,2755198,861344,2256939,2720198,651754,1679151,1473109,2074256,2478003,1562176,1654695,32330,1381832,651704,2687507,2697314,2002685,1130400,1792003,1440347,1323683,70695,496771,715409,1673242,89562,624506,1585785,1530516,1300790,1907225,2636691,1311865,2373231,467570,238518,742815,258503,278803,1292389,2280511,1804348,1647677,381042,94026,1428839,153669,2574872,628666,636399,2581513,1590661,1823685,2044173,1945959,1416234,24841,1239153,689437,712523,1466673,78811,356824,1050778,2804518,2151816,1655685,2476293,277350,870821,270556,2650915,1188312,1889042
285	
302	1646958,349762,1756832,795367,60819
316	507089,1144210,1410736,315877,579649,1391489,2384627,2715991,1105899,2345195,99630,952469,2452712,2385870,376161,662554,960784,348927,929919,2022023,1300267,2682786,2619816,1771102,1751322,1051786
324	1415392,1986992,332519,2556696,2376982,2283618,1072884,689844,2298951,2175515,1193842,1065096,1759485,14512,1568002,2319542,1959068,2144191,1058209,1262910,1674072,2209558,1983541,1070588,413994,573426,2230877,2196834,2005042,438590,1773818,744885,870807,1647503,2231391,1683501,353173,1919544,1324811,1208279,107186,2418083,2106771,2169447,744886,2069431,979054,187676,1127362,484735,1754028,1847864,2236849,298644,147116,1061978,2276711,1485085,2195877,41785,1182509,1650016,2428223,1485525,64475,209076,2690400,523518,709479,1256575,1358029,609155,234563,1370893,902452,664235,385350,1563509,2819332,2405664,1122605,1377831,1346320,2077759,411780,1231488,2543262,1898037,1707059,1225435,2513978,1054028,1629688,1258802,1667903,1224180,1722369,464339,742274,1964013,1749560,2073872,2425140,2154963,1491912,1659934,1513968,1523715,1044121,57254,1215957,445127,2653203,2591672,1458495,2701445,681998,1980439,203679,2479484,1915577,1477791,1613972,1807730,1121868,1920187,1540101,1215518,227917,2776839,2355741,657198,242543,2098426,2044502,1294614,548279,2433598,332739,2406848,1757959,2356898,32745,235350,11902,2715977,1693388,575540,727134,2573136,80210,897818,2103389,538278,1761505,2745937,2541151,1306183,5991,1071871,1592006,1959345,454919,882801,2831129,81883,544533,1358161,1516162,896836,552687,1397026,2161757,1146615,2211011,563421,2352142,1997242,1128815,682069,2118259,2072541
343	1857000,599622,2306677,2610162,1921334,1202915,382073,2138403,38146,266693,2034849,33803,611789,2664868,1843671,34736,2814155,1413245,2791623,1850298,2079902,2639604,2437964,2791339,1650394,2418253,439614,467894,764196,2624096,1877596,199148,1773582,2546644,328114,1511794,825691,2413931,612738,2027126,333175,2553588,1057766,370775,1786077,2387913,1301214,1105325,2021150,2151112,154263,222058,523736,1712719,2341890,77805,1254557,1292920,550877,4670,7414,1026283,2373204,2696035,279857,1159042,1153367,2130595,1554080,1445885,1672811,2125366,1238355,2214125,2492746,1634105,1183652,2365239,1846332,1968502,1938969,1852493,1157605,2019405,1913952,55668,1305154,215189,2674722,691566,1541034,13913,591684,1470470,505678,1684603,2665608,2318199,1433979,1336750,2298374,1457319,1974484,2281643,1135383,2227623,516987,1900503,457805,2551706,2609881,790284,1327034,1353716,604515,2348760,1794096,1636778,1403170,608831,2486715,1351737,2362489,877518,300388,1862881,817929,2049780,623165,1814343,503579,2789527,398481,2604817,2165322,741321,297216,1398468,1520099,424764,2101167,2484494,174207,1462791,400288,498252,425199,496764,2617451,1096768,836642,2370029,1573676,286062,292190,901833,1899990,1711003,1467061,2672951,2068769,634557,1525975,1670034,1449582,2212453,2068768,712250,1500818,1208776,262732,1715867,2507480,588269,2829960,2241217,122801,2019948,2363995,232136,2154959,372602,2468811,1087590,81657,2722505,432228,20100,1026678,92497,2058510,1328473,79171,940281,1003229,2666411,1352915,291909,1188000,2643300,302993,605165,931
350	1589329,2707004,1121726,1338220,382233,2802746,2214168,2703675,448697,2796240,1009790,2773139,2273972,1948257,1252893,2716288,184665,2520749,2420494,1252104,2329037,1793137,519457,473538,398916,2557157,134536,2255633,316687,2290917,733050,1209500,920420,628080,249253,2029455,137165,1304331,1900222,1160686,646370,1852965,2164053,758283,892904,1326031,1964957,260254,45584,279241,401951,2470891,2218832,173570,2702413,1941085,1087793,19742,1413052,1057669,738572,2601108,597546,1475345,162125,2093466,952525,381684,2008892,240780,2131442,2647190,2095116,562376,1038587,1807370,1113599,939857,2276727,2572711,1232218,2144669,1241593,2269149,171188,1506296,718556,2009858,55251,715684,989598,2788488,1843401,278126,1016760,2500645,2606949,1316334,454713,2023285,2067348,467347,1838287,1276283,354774,2152894,2027158,784181,1214375,1851125,2078999,183375,856122,1248738,1079298,650699,2087469,392128,1236426,2326745,2703241,2423464,2629585,71836,262977,718371,925223,413203,42101,1837098,1341663,2750227,307419,993370,2753578,471808,998876,1210434,1848338,818795,2798689,1554003,1344073,477049,315670,2338287,2834041,2632964,413193,2252041,2172193,2150126,1825661,1951942,2334059,2156213,1659905,2787864,213492,1284020,604410,801352,779492,242989,1999834,928920,966353,1606789,1925960,1920759,770689,1834591,386707,222022,1421141,1976616,1830650,797135,2366311,1929869,835351,2418492,1274084,1863109,735571,1767363,2165668,2137146,1962429,1405069,358192,2559545,1549334,1953294,797704,196631,2173563,21400,1634942,1046702,551824,1722369,843121,513188,2701253,2332291,983245,1060381,2538571,419635,1084109,725141,1670874,2118685,662432,596107,1383022,2345440,278432,1766125,596000,1011682,2385012,402680,2719588,2834593,1414657,1889671,68779,2723806,2811489,729685,208290,2281571,788548,2115383,1639034,1876388,622516,2603551,1006791,1270749,671584,522857,870255,2155378,1116748,2618311,177765,536304,2092327,1212273,1869179,1825773,1766754,713140,1776704,1105620,1349891,2647265,1726305,63883,145006,1167238,70214,2461772,984813,1341747,458828,998492,1949839,995074,1903390,2081821,69761,307153,97202
390	2335721,1382159,902396,1590099,2374542,163376,1035849,761461,1289436,2767540,2360057,121622,2018729,1056916,546923,2750092,587273,1071487,1217400,2235707,855518,905489,1681988,1495863,2359381,2821503,913471,1344510,530524,361693,1573392,562453,761349,2549035,1660386,859465,1191471,2369881,214315,720466,725146,1904301,1308861,546534,1490603,1109676,1821169,890712,1996063,533449,2580176,222051,335846,2085727,385758,1987438,1107527,2517227,514649,326936,2321528,2626684,30738,397099,55128,515609,252577,2341937,2042286,1976115,1505250,1490254,2596926,665495,2441702,1326871,1177977,2041337,2288310,1402542,866100,1358820,1701741,963929,1539184,136372,89220,2662105,988856
404	2275672,976606,846474,135072,2605107,704150,1585967,1080574,2567301,821107,2384129,590946,2655869,138061,1660956
409	2503607,314271,2789259,1565601,2723242,602260,1181656,79034,1975716,2205989,1785408,2050499,175935,2470216,2413636,800493,109931,2569942,825857,1968794,1469724,1536413,1208511,1059862,482003,1280673,1941449,2825520,2781138,341639,2636692,1848049,31310,74489,218726,2327927,1199445,144496,1069152,2360078,1100298,1895347,1728951,2570454,739461,2031674,57271,2492504,887614,1744585,104936,1941991,1420802,724661,2563300,2446029,293906,49274,1646243,364681,861114,1729913,871716,1337283,2641070,322076,2075685,1938440,1665220,1618633,1303148,798310,863925,488295,666776,656800,477695,1543640,1412945,1844001,634666,2612687
487	2380763,2774812,233905,2812061,566443,1419128,1328367,2338288,579622,396973,301366,2511644,1974729,1172670,465614,642688,706631,1954296,2750753,949661,2289116,105826,2392686,657464,2318007,851267,67998,2265490,1170663,2304974,198039,917612,382491,1229436,968989,1760684,2181320,1906571,164741,475511,854966,1036482,682118,1482268,2532359,725202,1059867,178370,866929,2502097,1501630,53188,2648003,2036091,905998,1691182,12928,561002,1216351,2037733,911052,670896,2743611,2324588,262101,973802,2471017,1500121,1871603,971583,2336978,957553,1783167,292271,193028,2662341,1580361,2637941,1297562,1462816,594811,1846962,2622004,206582,1578417,693281,127696,794677,671708,2665422,447189,2627584,3044,2598249,2677012,1373508,32185,2642364,768324,2263670,1456232,31532,756205,2459061,2636211,1305276,436042,2152646,287913,1981538,1334053,1589259,2561523,430346,1696830,1824427,2127477,1950596,228210,194152,2206367,334606,466378,809059,2814173,937307,2424935,1679882,2210778,1043944,946673,1064474,2364891,474341,111168,847152,2454802,902294,1216362,1795546,2058771,1448801,1498847,710818,636523,1968693,454531,1588031,2209164,1560225,961740,1797155,112969,507054,1674623,2057436,687353,1316422,2546565,1600760,143855,1699225,767165,2739417,782000,807208,2494113,255869,1596456,1633966,2390216,1136566,1906022,2329249,2324277,1309496,2078703,82781,904268,2045745,109394,1268362,28038,1952332,1159042,1245945,383922,2609142,399447,76968,841652,450714,2494895,703726,1290597,1229827,1592868,2525799,165272,1977022,2600387,158005,234850,2419696,357132,1152760,1522758,2532841,1157606,85638,1623639,1724102,2737566,321577,2549388,1346873,1641582,684303,1558822,1826390,1463214,38511,2729550,1840815,943478,2076238,119744,1230588,2058605,751093,639654,1963358,1441301,2318532
493	386624,381437
514	2405664,2405588,1601382,2628988,2049291,622189,897137,2420700,2665008,1475345,690343,580986,783796,1431543,621390,320385,1158415,2632950,2258266,2775700,2615883,2751632,1291258,1432627,1814347,1295882,1963738,2611871,430047,2439867,502977,1960014,343733,1545041,2713180,1663969,2733021,2744085,1775048,1531221,1816467,1087457,355128,1898896,1648190,168121,1600762,818280,2155903,1921368,2805514,249389,1956831,2013067,425931,274237,182826,598576,2169817,711123,84166,1566090,2365786,1762615,309013,796235,2724416,2172176,1036903,1212985,1665001,1129196,769313,736654,192635,1798027,2604810,945277,2784352,2366283,2347602,2194039,1630658,2134931,1913082,1150957,2004404,848560,21529,1485241,82600,434640,1581731,184995,138008,481217,1413940,2799593,2424558,2376468,1295082,2052083,761959,2691612,2808931,363823,1794852,187870,283312,279514,2452819,250414,2605279,2752640,1643539,2184963,1156340,205493,2617966,2526149,2265091,473851,1160509,712020,1646385,1067997,377240,743663,1130892,1572811,2010833,1831642,663822,1554827,1517032,1173365,1015943,900684,1597068,1128190,100505,1530461,2039522,2100805,1289842,2561489,988678,973103,1245937,2277442,2549324,1330062,1373616,2704378,1762169,2297534,1219725,852754,1250116,508115,845471,524843,24262,1004270
517	2688010,2276245,2329317,848479,91600,1070061,1565601,2214291,1338280,444243,577402,840493,456360,2129540,216542,294080,2730596,2517894,733147,1744585,1787928,535735,887254,306667,2205994,1296900,1316602,11107,842802,2676657,2743548,130469,2390905,905721,1438110,1010407,750876,772583,2538684,1101318,1174599,2474448,1153317,1649613,683279,1302156,1959276,1069142,242630,1017542,2654067,1173494,1340787,1979874,536732,2501968,1174467,1689155,2750964,913315,354542,589972,1630091,399944,822326,2474314,1585048,2383407,2298229,586577,1418560,675722,539605,1581108,656443,2179197,1301147,247588,2521748,2229453,1263263,488191,1482766,801800,1346730,1710780,676060,1137321,1210051,1509578,1989575,1853527,2201120,767294,477989,1641312,384295,71032,1350697,532920,1144151,1336035,1863733,684854,636174,919185,98976,2282760,890761,1290022,1287955,2468353,100677,228974,2829288,1399049,2214028,930625,1187815,377977,2631438,179777,55773,109588,1504006,4872,2137458,258292,1895308,370121,93750,1216861,2551550,1449152,895608,2160774,281717,2563072,2627374,117382,1624819,2090554,193331,1286593,2458480,1712018,1388121,2218187,2630607,530646,1361775,470931,508016,227560,2347251,2167496,1397213,1345691,1828829,2671191,857688,2317125,903733,2697168,591042,211381,1452321,2731078,1451971,2190105,2115471,781968,2149615,578232,2415699,2341189,1976118,1267143,2324748,75105,814305,2032733,13438,1566790,473618,1733324,1036977,880241,1319352,778170,732344,2767448,47670,2500570,2106988,715523,2246000,2745955,2446418,2814855,1902832,446075,1274443,19834,2348249,2675124,958349,1403611,2668724,2796781,2339834,1295406,889974,1176021,1532059,2545618,605354,1934470,482814,131045,2338857,657183,1130415,482499,694689,2425711,1464609,2585739,247849,1947554,1585005,2630363,2045884,709217,2473795,2607290,732281,2309615,294802,2045712,606755,2824338,2402411,1836447,1437614,1526269,2258222,910204,2503150,1579571,645670,2504453,564654,470426,1795127,1781459,1593371,2489151,2161255,1903282,2644650,2607706,2136868,2689803,322246,2441829,2489157,547609,1431549,321031,2165716,1718967,878228,814108,243718,1086302,783028,2319497,2342840,1018089,644204,752403,2004037,1657687,295017,867909,2239647,2461555,1345877
527	1687365,2226334,1601745
548	2758142,1384551,1210773,309460,2242763,685765,191101,901246,747567,1646958,206258,1887636,1751597
587	1460287,1133192,713998,2458319,2273846,634982,133650,1497518,1500025,2545294,1217910,1644950,1475054,1513759,753200,1836157,483175,2098769,1120044,1926041,1135231,1735282,2381958,2754709,2224272,1765048,799968,2056979,2775640,2691747,2636491,228307,1519821,1134415,1646300,342621,1438519,1457806,2665314,1349825,1377132,1624294,2126999,622516,46678,67559,703406,1190850,1695179,899060,2461424,639469,1143025,2256746,2518719,2634667,1619863,2092816,2548962,2147885,78684,1246805,1852831,2804938,1266780,2727274,1622414,2141659,593361,321055,2034742,409565,2735793,1938979,312682,2452207,384976,2695099,2813999,2762810,594321,1033423,485942,79554
645	597546,381684,1232218,2572711,1807370,2276727,2144669,1241593,939857,171188,2009858,1506296,55251,715684,718556,2500645,2269149,989598,278126,1016760,2606949,2788488,1843401,1316334,2023285,454713,2067348,467347,1838287,1276283,2027158,1214375,2152894,784181,1851125,354774,1248738,183375,1079298,2078999,1236426,2087469,392128,650699,2629585,2703241,71836,718371,42101,2326745,2423464,262977,72341,925223,364185,413203,2284397,1368708,2607714,827235,2138184,2232640,1296566,2544495,1474417,2553883,441284,2110265,1754028,1391837,1015156,2775708,1101144,653008,551824,1993954,2144574,399365,518027,2634998,1125536,2583611,1658107,468070,1947641,2712449,896357,2286459,228799,2539061,2520439,2190108,2682376,2189615,1485168,1283855,2169816,1083508,2090569,17062,2172176,644674,1094345,545537,2438813,126957,1058429,121671,2132760,1866671,1300177,1844862,771755,1884809,2525098,1879075,2061126,159225,1823530,665188,1614810,1336210,269981,147116,1488675,521459,2277437,2236849,718904,1227136,909770,2605619,1475345,952525,162125,2093466,2008892,240780,2131442,2095116,2647190,1113599,1038587,562376
667	2167880,1990152,1188060,2359727,788782,295499,126858,2280627,358984,1004894,1017295,287038,2456015,1883266,330501,2186698,2585889,516698
669	1045907,1885259,2258838,1967629,549272,1819103,919845
689	17778,1057048,365501,2824249,2045169,420296,2088422,2236499,313367,680903,2333186,79649,1544449,1232228,839545,1405693,2347818,1376508,485895,1225881,2800864,459699,738717,1457399,1398097,2490826,2100915,2758261,83183,1518916,1716,509834,1957588,2257208,1695254,1798898,1002612,714955,1364423,2260370,2045180,591597,2451754,2531009,1507655,2792402,559977,1429692,2241441,85740,1663007,2026776,2828918,2661173,558104,2000797,1201719,1769677,1650136,1208993,2812020,2562141,859314,784897,2794227,233752,751787,2834074,757850,443437,1747156,2017750,680084,2795921,394669,809722,463749,1659034,2817059,723290,2631457,2594727,2229048,1494694,236888,1419189,1179512,2759667,291948,812195,292442,107491
693	986983,1483016,524197,1661705,542126,971689,1814853,879296,1420570,1651429,91929,329458,531576,1987811,2730753,1447136,2017607,1364879,1191097,2147240,82678
704	295499,1594246,2705161,569666,2759478,2494611,2132052,1135829
719	34816,191333,1030062,214812,1407378,2093223,2626191,1348743,1961694,1152099,164447,1253879,1277744,1206168,1426078,1721856,1669704,1076033,1269606,1994457,1516275,105504,248669,994882,2428523,472428,2565823,1718995,320588,2495391,757549,849187,2822346,1012032,2056989,1098861,2791676,482596,170456,2698048,1491912,729509,4935,273337,619536,911548,2159114,1296228,229260,504112,2607299,1108513,2278671,1512023,2148726,110610,2574126,1026239,223482,2772609,641839,2206726,813630,219704,2397923,2029644,2553667,1838586,139975,2152021,2691336,2595097,2266776,1946348,2637991,47531,1167932,1742248,1402358,1938217,2725191,1713976,71097,435320,780761,601841,159108,2629449,2660735,2708159,1761179,518759,2620601,1837242,1212840,436431,1716378,654006,2205604,2151725,1873849,2737407,178389,1806169,72402,1658019,1371487,2828131,1158339,832263,344627,662583,1802340,1211289,1245387,263055,2833945,2160831,372671,1005991,1912532,632907,814946,963697,2282117,2506656,1643299,2238512,1295979,1034624,2600455,2434290,2487681,2078206,845472,322688,2774225,233687,2607015,656253,1847237,1032827,798323,1588455,341407,2572651,1367162,1451840,819860,259473,1330441,1145362
758	2667623,60468,2507267,1712433,1613233,113428,258915,2410549,1320983,1140531,2359087,201558,1628288,559794,2760033,2625626,1763496,1879276,2237017,2617810,2190852,2701471,2762278,263487,263392,10864,105489,1709072,1969867,522801,2000760,1356648,2741231,464982,872182,2824266,2411877,402677,2030090,80182,2826068,1562102,377937,622665,1198093,1850146,2303256,1045262,408526,478555,1150655,2522906,203960,2084402,1818974,77061,2753820,1963860,1059152,1120465,2460993,1207187,948626,1661042,967566,122476,1710671,479276,2329513,2631063,146807,2019119,584853,1502307,2128273,2695464,1651297,376845,74031,1897254,1725700,247845,1765798,935238,1247933,290187,1937684,901708,485486,2424177,2171586,2512700,310165,2653982,1523371,2460151,1893498,2369678,2116815,1518688,1859453,1692288,1322461,1193860,2779366,1492252,323214,2243340,2202073,2433739,68193,1470889,1153402,17782,2150100,2246000,653850,792181,896333,477438,520923,446073,2122772,2737360,965135,524082,1815165,1091271,2304237,846293,1752320,316290,150399,1565805,1266591,1450311,1373791,2371498,393505,2658488,488336,2649652,1753117,1029372,2412308,1091632,1403522,2655035,1764540,1629043,683828,907469,668903,2168088,1383420,36086,307869,1904714,2562663,2594614,2342785,2548807,332874,2536801,794163,1332653,596861,2394940,1225305,2173186,2520953,1485028,908484,1295624,1370199,208651,2339470,1958557,2685210,1220226,1901342,2627509,2335245,2822614,1785043,1743753,2760387,2737994,2110565,227413,2162663,2086693,505719,1483932,539605,1875937,2310545
774	1903011,1038110,1730040,2249023,1909385,1201354,577097,1714565,1455399,1333315,121094,231189,304839,6353,18250,957802,224403,201539,2420420,1543235,1515038
858	2762278,2048054,2723234,2522906,1222720,2036343,822200,886056,2783672,1051740,2632424,516511,1130322,1611443,2735608,1581572,777697,1966734,2227628,461326,1792240,691180,1963025,377937,1712433,30236,2084402,2424483,445925,622665,1570299,2824266,393675,2428672,1765800,790491,1364078,600736,1045262,1130880,1709487,2094604,2667623,1867817,1628288,2741231,2231662,1336115,2824784,1987101,2515513,1293119,646656,1511531,2323067,1844500,1120465,101388,1624369,1878249,2273976,2525117,239259,1215229,1420747,2049523,1054558,2189615,1165036,2745970,356145,2531552,963700,2778979,2818198,1511950,1234540,315251,1280035,2175831,2591208,1437509,1808057,893195,2492338,1960976,812050,1568668,1738237,721230,1054689,1236426,2213988,1212984,925384,87670,578418,34115,2212453,2007800,2143818,36644,2778209,2168461,861034,1148054,230231,1704380,289688,1654473,61475,1261971,2442017,1144527,1034011,2522648,692305,1344912,2039279,366057,2782153,2782989,250462,2724129,1993110,910066,2129287,1662057,1100471,1737475,1989156,2161400,914513,241866,610468,2044239,2831803,1405221,289197,1888235,2447895,2711237,1059325,774486,248955,2350309,1914147,2034842,1475167,858506,36147,2432379,1443466,167435,2413201,1262517,1507493,1777327,1146645,1486094,1214057,1690591,1334502,1220105,918937,1936699,2229957,2741409,152622,2589363,1992077,2394501,1763450,1784172,1874982,1913534,601477,925918,460804,1409067,1545560,2607697,1771392,11705,1912657,2736002,2298513,564759,1099656,2018938,1593333
865	1484431,1198313,44891,1581853,370935
884	2802472,1389872,1346134,1064845,1956253,1484191
893	
902	2083870,799735,522391,1524450,1880462,2372794,1770934,2498458,261499,1744057,2386659,673596,2327438,712325,488467,77055
912	
920	
927	947023,1289094,976606,1193910,2796183,952363,1772451
946	426733,1606694,355636,1158954,1424228,2463947,1672766,463833,1872049,2592407,2543347,2531204,2163200,2063553,728034,2028348,1591071,761375,2514901,107697,1217242,2697299,1415034,1080750,1847819,769763,1659202,2453243,419071,511675,2646800,1416987,86590,1876855,636250,606794,2719431,2498148,1324464,1779239,2110005,705761,1323393,446498,1456285,1127481,762187,817397,918278,737424,2451267,2744984,1488074,2627916,1557266,1690485,2277759,1293916,2352550,2068999,798479,2031314,1487988,1093765,1710441,2006055,1907595,49560,2692099,1992803,252421,164885,2628190,1412721,1605082,1405153,1322706,725959,2439468,624927,2714114,606667,2792817,1416157,2683519,2715834,278910,2162870,2396532,477699,1223145,10152,583282,541738,2358908,1013910,876543,2318094,624774,165391,1756743,2456024,2288885,2269981,297213,735431,85707,2004154,1111100,2238396,2467456,1521290,1536475,1250488,912679,332445,1857115,496653,350056,1466418,2586994,1151789,954693,2303289,979692,2009453,2707776,32344,734652,896568,1715801,157452,1691915,2730930,675660,2568004,2037376,880532,2115965,2672229,624302,393437,486559,1996991,990596,2481848,1184578,1960491,2146761,708148,2518940,845058,2688719,2495326,1320773,2590635,1831187,978875,320567,352966,869281,1089876,2189651,1590414,522603,2316686,1721775,1516770,2514565,330884,1373920,1281717,1186573,2299234,1463272,1937422,889284,608603,1159652,1530369,1782331,1597182,1350668,505061,2227341,1686711,977736,865404,2072034,732576,994056,1142800,2536032,779417,2539065,1275170,2800485,1517094,679015,250783,1698051,1638890,1297850,1901409,2556878,1346133,145305,2322646,281116,1621972,1429159,2599469,1030978,616753,1322901,537016,1857437,706529,1844725,2193846,345172,1428234,610182,5157,923132,2152919,2744451,167695,1590100,1387359,406312,938690,1194966,1913237,893258,2369588,2341318,2314659,255865,417271,1966681,290457,118359,2401290,1675628,1793915,2174491,771237,460050,2326353,1278426,132132,2095263,387448,1499526,2237340,2454579,2496977,2235447,390301,2199037,858805,61578,1979144,1517250,1853124,846366,868747,2785503,801274,592231,214082,1531661,1888846,1527315,2471017,644279,679819,215604,2544223,8264,642340,1005572,2389747,2744805,87965,724387,450418,2818682,1470908,1242074,2495849,357433,795297,564254,2358848,1799569,1741117,2145307,603057,1487717,1402355,1808443,362576
